"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4664-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4665-3p",-12.0072871239408,96.6753320916045,-4.93266768222819,9.01409595814968e-07,6.07441908549682e-06,1.7329558049618
"hsa-miR-4665-5p",-2.91253621967714,55.6761534830226,-2.92319168982246,0.00351656892048219,0.0142509843524995,-6.07977148418301
"hsa-miR-4666a-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4666a-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4666b",0,0,0,1,1,-10.3429708982513
"hsa-miR-4667-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4667-5p",-1.1906291153003,57.4140827801265,-1.89327279882276,0.0585138813537448,0.182076109780937,-8.55169266306439
"hsa-miR-4668-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4668-5p",2.25400139816862,7.2501996295273,5.5167242496867,4.06197443733622e-08,3.33947570544936e-07,4.73174541695123
"hsa-miR-4669",-5.49492169103269,331.777608091212,-0.883942262010349,0.376869013441068,0.753651863113937,-9.95213927246543
"hsa-miR-4670-3p",0.0780001033059789,0.0442969960852197,0.872262152033967,0.38320495535645,0.753651863113937,-9.96239706248441
"hsa-miR-4670-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4671-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4671-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4672",-56.8188330538246,879.468047498402,-3.34869599446386,0.000832049341347882,0.00378478679987268,-4.75327309157189
"hsa-miR-4673",-9.59635728242611,76.1796460258855,-6.95415841749716,5.27666502538949e-12,6.30058931007816e-11,13.4712576652643
"hsa-miR-4674",-0.15007950825713,5.42659601499467,-0.937619110053793,0.348591102791897,0.749489552197798,-9.90324640484518
"hsa-miR-4675",0.00643091605678858,4.32526407671105,0.0348584306780773,0.972197265170761,1,-10.3423629446145
"hsa-miR-4676-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4676-5p",0.140049165353304,1.28515446309454,1.46066340383339,0.144317224657627,0.385486488233288,-9.27626023276432
"hsa-miR-4677-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4677-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4678",0,0,0,1,1,-10.3429708982513
"hsa-miR-4679",0,0,0,1,1,-10.3429708982513
"hsa-miR-4680-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4680-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4681",0.0472377990962487,0.0581612841904128,2.85518664637644,0.00436032954262791,0.0173204377475477,-6.27529183389788
"hsa-miR-4682",0.114421592897845,0.837958769209055,1.59209990017614,0.111572924788955,0.311720455608138,-9.07581815408436
